,coil_no,YieldStrength,TensileStrength,TotalElongation,coil_thickness,steel_design_description,grade,grade_head,grade_tail,sample_direction,sample_location,c_amount,mn_amount,p_amount,s_amount,si_amount,cu_amount,ni_amount,cr_amount,mo_amount,al_amount,nb_amount,ca_amount,n_amount,ti_amount,v_amount,TF1_EXIT_AVG_BODY,TBC_thickness,TEMP_FM_ENTRY_AVG,TEMP_FM_EXIT_AVG,TEMP_COILING_AVG
5461,23B168915,46.6,60.5,47.78,0.993300020694733,06MN40 500000,06MN40,06MN40,06MN40,T,T,0.066,0.869,0.0059,0.0012,0.017,0.11,0.041,0.032,0.014,0.0273,0.002,0.0017,0.0091,0.001,0.005,2001.704,54.23682,1812.0,1536.0,1065.0
6466,23B172068,44.6,59.3,28.15,0.994099974632263,06MN40 500000,06MN40,06MN40,06MN40,T,T,0.06,0.835,0.0044,0.0045,0.023,0.146,0.055,0.027,0.012,0.0319,0.003,0.0022,0.0084,0.001,0.005,1980.914,54.22376,1794.0,1535.0,1097.0
6482,23B172109,44.8,62.3,39.95,0.993799984455109,06MN40 500000,06MN40,06MN40,06MN40,T,T,0.059,0.879,0.0047,0.0035,0.021,0.135,0.046,0.04,0.015,0.033,0.002,0.002,0.0092,0.001,0.005,2096.546,54.17857,1902.0,1585.0,1081.0
6483,23B172110,46.3,60.7,38.35,0.744099974632263,06MN40 500000,06MN40,06MN40,06MN40,T,T,0.059,0.879,0.0047,0.0035,0.021,0.135,0.046,0.04,0.015,0.033,0.002,0.002,0.0092,0.001,0.005,2101.424,54.17367,1871.0,1545.0,1011.0
0,23B100002,51.4,66.6,29.66,0.369100004434586,06MN40 550000,06MN40,06MN40,06MN40,L,T,0.058,0.904,0.0087,0.001,0.023,0.102,0.036,0.06,0.012,0.0288,0.002,0.0035,0.0088,0.0,0.005,2142.284,54.16466,1907.0,1551.0,1007.0
1,23B100002,52.5,65.8,28.58,0.369100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.058,0.904,0.0087,0.001,0.023,0.102,0.036,0.06,0.012,0.0288,0.002,0.0035,0.0088,0.0,0.005,2142.284,54.16466,1907.0,1551.0,1007.0
2,23B100005,50.8,64.0,32.15,0.493999987840652,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.062,0.909,0.0108,0.0012,0.019,0.099,0.037,0.061,0.009,0.0222,0.003,0.0017,0.0084,0.0,0.005,2107.49,54.1893,1855.0,1545.0,1045.0
3,23B100010,48.2,62.7,43.35,0.493999987840652,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.062,0.909,0.0108,0.0012,0.019,0.099,0.037,0.061,0.009,0.0222,0.003,0.0017,0.0084,0.0,0.005,2078.852,54.19266,1842.0,1542.0,1020.0
46,23B100135,48.3,65.6,30.73,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,L,T,0.061,0.869,0.0077,0.0025,0.018,0.109,0.037,0.051,0.014,0.0316,0.002,0.0034,0.0099,0.001,0.005,2089.886,49.25884,1913.0,1554.0,1050.0
47,23B100135,52.75,66.25,27.759999999999998,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.061,0.869,0.0077,0.0025,0.018,0.109,0.037,0.051,0.014,0.0316,0.002,0.0034,0.0099,0.001,0.005,2089.886,49.25884,1913.0,1554.0,1050.0
48,23B100138,54.1,66.0,30.56,0.181099995970726,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.061,0.869,0.0077,0.0025,0.018,0.109,0.037,0.051,0.014,0.0316,0.002,0.0034,0.0099,0.001,0.005,2130.044,44.33091,1884.0,1549.0,1014.0
336,23B150497,54.4,66.3,27.49,0.244200006127357,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.064,0.872,0.0058,0.0011,0.01,0.124,0.039,0.045,0.013,0.0232,0.002,0.0036,0.0106,0.0,0.005,2065.154,49.28273,1886.0,1558.0,1000.0
337,23B150501,49.6,64.0,30.97,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.064,0.872,0.0058,0.0011,0.01,0.124,0.039,0.045,0.013,0.0232,0.002,0.0036,0.0106,0.0,0.005,2145.434,49.23347,1887.0,1549.0,1014.0
338,23B150504,54.4,66.2,27.3,0.182099997997284,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.057,0.881,0.0084,0.0015,0.025,0.122,0.042,0.045,0.008,0.0291,0.003,0.0019,0.009,0.001,0.005,2100.812,44.33538,1869.0,1549.0,1029.0
339,23B150509,52.0,64.5,32.52,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.057,0.881,0.0084,0.0015,0.025,0.122,0.042,0.045,0.008,0.0291,0.003,0.0019,0.009,0.001,0.005,2080.706,49.27276,1857.0,1545.0,1022.0
340,23B150512,51.1,64.8,28.76,0.244000002741814,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.063,0.898,0.0096,0.0029,0.027,0.109,0.038,0.046,0.013,0.0331,0.003,0.0048,0.009,0.001,0.005,2083.154,49.27204,1844.0,1547.0,1016.0
341,23B150518,53.0,64.4,30.36,0.182099997997284,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.063,0.898,0.0096,0.0029,0.027,0.109,0.038,0.046,0.013,0.0331,0.003,0.0048,0.009,0.001,0.005,2120.702,44.33771,1869.0,1549.0,1013.0
343,23B150530,54.7,66.6,29.51,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.059,0.892,0.0085,0.0036,0.023,0.108,0.038,0.054,0.012,0.0348,0.002,0.0027,0.011,0.001,0.005,2096.492,49.27102,1868.0,1545.0,1009.0
344,23B150535,54.8,67.3,29.03,0.181999996304512,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.059,0.892,0.0085,0.0036,0.023,0.108,0.038,0.054,0.012,0.0348,0.002,0.0027,0.011,0.001,0.005,2060.708,44.34879,1860.0,1549.0,1014.0
412,23B150815,51.2,64.0,30.16,0.25450000166893,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.059,0.818,0.0057,0.0017,0.018,0.09,0.033,0.049,0.013,0.0273,0.002,0.0032,0.0101,0.0,0.005,2070.23,49.27991,1859.0,1549.0,1011.0
413,23B150820,50.1,63.7,30.53,0.312999993562698,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.059,0.818,0.0057,0.0017,0.018,0.09,0.033,0.049,0.013,0.0273,0.002,0.0032,0.0101,0.0,0.005,2102.27,49.26017,1878.0,1553.0,1038.0
414,23B150823,52.5,66.0,30.02,0.181600004434586,06MN40 550000,06MN40,06MN40,06MN40,L,T,0.054,0.853,0.0062,0.0004,0.031,0.096,0.037,0.049,0.011,0.0277,0.003,0.0018,0.0095,0.0,0.005,2019.614,44.38098,1824.0,1549.0,1005.0
415,23B150823,55.1,67.2,26.7,0.181600004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.054,0.853,0.0062,0.0004,0.031,0.096,0.037,0.049,0.011,0.0277,0.003,0.0018,0.0095,0.0,0.005,2019.614,44.38098,1824.0,1549.0,1005.0
868,23B152431,54.6,67.8,28.68,0.182300001382828,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.062,0.853,0.0072,0.0014,0.033,0.093,0.037,0.047,0.012,0.0284,0.002,0.002,0.0089,0.001,0.005,1985.234,54.25136,1844.0,1547.0,1018.0
869,23B152435,51.7,64.8,31.24,0.182199999690056,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.062,0.853,0.0072,0.0014,0.033,0.093,0.037,0.047,0.012,0.0284,0.002,0.002,0.0089,0.001,0.005,1978.916,49.35865,1848.0,1571.0,1027.0
870,23B152438,45.7,62.8,35.44,0.249200001358986,06MN40 550000,06MN40,06MN40,06MN40,T,H,0.056,0.906,0.0079,0.0022,0.024,0.088,0.034,0.044,0.012,0.0377,0.0,0.003,0.0056,0.0,0.004,2007.356,49.28933,1824.0,1563.0,975.0
871,23B152438,45.9,63.0,32.25,0.249200001358986,06MN40 550000,06MN40,06MN40,06MN40,T,M,0.056,0.906,0.0079,0.0022,0.024,0.088,0.034,0.044,0.012,0.0377,0.0,0.003,0.0056,0.0,0.004,2007.356,49.28933,1824.0,1563.0,975.0
872,23B152438,51.4,64.4,24.86,0.249200001358986,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.056,0.906,0.0079,0.0022,0.024,0.088,0.034,0.044,0.012,0.0377,0.0,0.003,0.0056,0.0,0.004,2007.356,49.28933,1824.0,1563.0,975.0
873,23B152439,47.9,62.6,32.95,0.249099999666214,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.056,0.906,0.0079,0.0022,0.024,0.088,0.034,0.044,0.012,0.0377,0.0,0.003,0.0056,0.0,0.004,1971.032,49.29423,1806.0,1563.0,1005.0
875,23B152452,51.3,63.4,32.32,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.054,0.873,0.0068,0.0016,0.018,0.094,0.039,0.043,0.012,0.0344,0.002,0.0017,0.0083,0.001,0.004,2132.888,54.15412,1896.0,1574.0,1025.0
876,23B152455,50.8,64.2,32.39,0.244000002741814,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.054,0.885,0.0079,0.0021,0.026,0.092,0.032,0.046,0.013,0.0321,0.001,0.0026,0.0076,0.0,0.004,2149.052,49.24225,1895.0,1576.0,1013.0
877,23B152460,53.0,64.8,32.38,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.054,0.885,0.0079,0.0021,0.026,0.092,0.032,0.046,0.013,0.0321,0.001,0.0026,0.0076,0.0,0.004,2165.612,49.22049,1913.0,1571.0,1013.0
878,23B152464,50.6,63.1,34.71,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.053,0.887,0.0077,0.0025,0.021,0.09,0.037,0.048,0.012,0.0282,0.002,0.0014,0.0078,0.0,0.005,2180.156,49.22185,1907.0,1551.0,1013.0
879,23B152469,54.9,67.3,27.33,0.181600004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.053,0.887,0.0077,0.0025,0.021,0.09,0.037,0.048,0.012,0.0282,0.002,0.0014,0.0078,0.0,0.005,2066.198,44.36107,1875.0,1554.0,1020.0
880,23B152473,52.3,64.8,29.77,0.181600004434586,06MN40 550000,06MN40,06MN40,06MN40,L,T,0.054,0.853,0.006,0.0033,0.023,0.094,0.031,0.038,0.013,0.0303,0.001,0.0028,0.0081,0.0,0.004,2147.702,44.29809,1911.0,1553.0,1004.0
881,23B152473,53.8,65.5,31.53,0.181600004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.054,0.853,0.006,0.0033,0.023,0.094,0.031,0.038,0.013,0.0303,0.001,0.0028,0.0081,0.0,0.004,2147.702,44.29809,1911.0,1553.0,1004.0
886,23B152487,50.2,64.2,30.05,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.058,0.91,0.0106,0.0062,0.02,0.087,0.036,0.049,0.011,0.037,0.002,0.0017,0.0076,0.001,0.004,2129.108,49.24948,1905.0,1599.0,1013.0
887,23B152490,51.1,65.3,33.46,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,L,T,0.052,0.935,0.0069,0.0025,0.027,0.093,0.031,0.04,0.014,0.0248,0.001,0.0023,0.0088,0.0,0.004,2140.97,49.24334,1905.0,1599.0,1007.0
888,23B152490,52.7,65.0,29.77,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.052,0.935,0.0069,0.0025,0.027,0.093,0.031,0.04,0.014,0.0248,0.001,0.0023,0.0088,0.0,0.004,2140.97,49.24334,1905.0,1599.0,1007.0
889,23B152495,53.9,67.4,30.42,0.181999996304512,06MN40 550000,06MN40,06MN40,06MN40,L,T,0.052,0.935,0.0069,0.0025,0.027,0.093,0.031,0.04,0.014,0.0248,0.001,0.0023,0.0088,0.0,0.004,2130.278,44.32958,1900.0,1599.0,1016.0
890,23B152495,54.6,66.8,26.61,0.181999996304512,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.052,0.935,0.0069,0.0025,0.027,0.093,0.031,0.04,0.014,0.0248,0.001,0.0023,0.0088,0.0,0.004,2130.278,44.32958,1900.0,1599.0,1016.0
913,23B152562,52.7,65.1,30.33,0.244000002741814,06MN40 550000,06MN40,06-V50,06MN40,L,T,0.054,0.869,0.0064,0.0018,0.028,0.074,0.029,0.037,0.014,0.0337,0.001,0.003,0.0092,0.0,0.005,2230.916,54.08581,1950.0,1553.0,998.0
914,23B152562,53.8,65.6,29.35,0.244000002741814,06MN40 550000,06MN40,06-V50,06MN40,T,T,0.054,0.869,0.0064,0.0018,0.028,0.074,0.029,0.037,0.014,0.0337,0.001,0.003,0.0092,0.0,0.005,2230.916,54.08581,1950.0,1553.0,998.0
1709,23B155730,50.6,64.0,32.33,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,L,T,0.051,0.882,0.0069,0.0026,0.019,0.13,0.04,0.041,0.011,0.0343,0.003,0.0018,0.0076,0.001,0.004,2216.786,49.20511,1961.0,1553.0,982.0
1710,23B155730,51.2,63.7,26.35,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.051,0.882,0.0069,0.0026,0.019,0.13,0.04,0.041,0.011,0.0343,0.003,0.0018,0.0076,0.001,0.004,2216.786,49.20511,1961.0,1553.0,982.0
2807,23B160161,54.8,66.0,25.68,0.182099997997284,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.054,0.854,0.0053,0.0019,0.028,0.115,0.041,0.033,0.01,0.0333,0.0,0.0049,0.007,0.001,0.005,2148.944,44.29062,1949.0,1549.0,978.0
2808,23B160164,54.5,65.3,29.79,0.182099997997284,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.054,0.854,0.0053,0.0019,0.028,0.115,0.041,0.033,0.01,0.0333,0.0,0.0049,0.007,0.001,0.005,2209.802,44.29275,1981.0,1554.0,1106.0
2809,23B160166,51.5,65.5,27.25,0.182099997997284,06MN40 550000,06MN40,06MN40,06MN40,L,T,0.057,0.874,0.0061,0.003,0.012,0.113,0.041,0.04,0.016,0.0301,0.004,0.0026,0.0066,0.001,0.005,2168.402,44.33199,1961.0,1556.0,1038.0
2810,23B160166,53.3,65.8,28.6,0.182099997997284,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.057,0.874,0.0061,0.003,0.012,0.113,0.041,0.04,0.016,0.0301,0.004,0.0026,0.0066,0.001,0.005,2168.402,44.33199,1961.0,1556.0,1038.0
2811,23B160170,56.9,67.9,26.36,0.240099996328354,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.057,0.874,0.0061,0.003,0.012,0.113,0.041,0.04,0.016,0.0301,0.004,0.0026,0.0066,0.001,0.005,2178.536,44.29563,1954.0,1545.0,1022.0
3654,23B162970,53.2,65.5,32.33,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,L,T,0.058,0.869,0.0043,0.0013,0.028,0.077,0.029,0.031,0.007,0.0338,0.0,0.0017,0.0074,0.001,0.005,2156.234,49.19258,1970.0,1551.0,903.0
3655,23B162970,59.6,67.9,29.4,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.058,0.869,0.0043,0.0013,0.028,0.077,0.029,0.031,0.007,0.0338,0.0,0.0017,0.0074,0.001,0.005,2156.234,49.19258,1970.0,1551.0,903.0
3656,23B162976,52.7,64.9,31.03,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,L,T,0.058,0.869,0.0043,0.0013,0.028,0.077,0.029,0.031,0.007,0.0338,0.0,0.0017,0.0074,0.001,0.005,2197.868,49.21078,1985.0,1554.0,987.0
3657,23B162976,53.7,65.0,30.52,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.058,0.869,0.0043,0.0013,0.028,0.077,0.029,0.031,0.007,0.0338,0.0,0.0017,0.0074,0.001,0.005,2197.868,49.21078,1985.0,1554.0,987.0
3659,23B162980,55.0,64.7,32.66,0.307099997997284,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.054,0.898,0.0074,0.0041,0.023,0.098,0.035,0.039,0.017,0.0397,0.002,0.0031,0.0071,0.001,0.005,2072.012,49.2621,1927.0,1549.0,908.0
3660,23B162982,53.8,65.4,31.25,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.054,0.898,0.0074,0.0041,0.023,0.098,0.035,0.039,0.017,0.0397,0.002,0.0031,0.0071,0.001,0.005,2108.624,49.21586,1938.0,1547.0,1013.0
3661,23B162983,55.1,66.7,29.7,0.182099997997284,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.054,0.898,0.0074,0.0041,0.023,0.098,0.035,0.039,0.017,0.0397,0.002,0.0031,0.0071,0.001,0.005,2111.648,44.34083,1936.0,1553.0,946.0
3662,23B162985,56.1,65.4,29.88,0.181999996304512,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.053,0.852,0.0037,0.0018,0.021,0.074,0.03,0.029,0.008,0.0335,0.0,0.0019,0.0073,0.001,0.004,2175.332,44.28233,1979.0,1554.0,978.0
3701,23B163109,56.3,67.4,37.68,0.493000000715256,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.051,0.931,0.0067,0.0039,0.021,0.109,0.04,0.049,0.019,0.0322,0.003,0.0034,0.0091,0.001,0.004,2183.504,54.13496,1981.0,1529.0,910.0
3705,23B163118,57.4,69.3,25.73,0.305099993944168,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.06,0.907,0.0104,0.0047,0.016,0.178,0.047,0.056,0.012,0.0354,0.001,0.0019,0.0091,0.0,0.005,2177.24,49.18267,1977.0,1544.0,908.0
3756,23B163262,55.5,65.8,28.39,0.244299992918968,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.062,0.942,0.004,0.0004,0.022,0.088,0.037,0.036,0.009,0.0266,0.0,0.0018,0.009,0.0,0.005,2107.49,49.2135,1929.0,1545.0,879.0
3757,23B163267,53.8,64.9,31.12,0.312999993562698,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.062,0.942,0.004,0.0004,0.022,0.088,0.037,0.036,0.009,0.0266,0.0,0.0018,0.009,0.0,0.005,2129.63,49.21398,1932.0,1544.0,955.0
3758,23B163270,50.4,61.7,36.46,0.3091000020504,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.052,0.858,0.004,0.0005,0.018,0.087,0.032,0.031,0.008,0.0299,0.0,0.0018,0.008,0.0,0.005,2120.81,49.20868,1916.0,1547.0,995.0
3759,23B163275,56.2,67.6,31.17,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.052,0.858,0.004,0.0005,0.018,0.087,0.032,0.031,0.008,0.0299,0.0,0.0018,0.008,0.0,0.005,2072.174,49.23142,1913.0,1553.0,1072.0
3760,23B163280,54.4,65.8,34.08,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,L,T,0.054,0.883,0.0039,0.0003,0.02,0.101,0.039,0.038,0.011,0.0328,0.0,0.0019,0.0081,0.0,0.005,2075.252,49.24558,1907.0,1553.0,1007.0
3761,23B163280,56.1,67.4,29.96,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.054,0.883,0.0039,0.0003,0.02,0.101,0.039,0.038,0.011,0.0328,0.0,0.0019,0.0081,0.0,0.005,2075.252,49.24558,1907.0,1553.0,1007.0
4099,23B164253,53.2,65.9,29.64,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,L,T,0.056,0.882,0.0052,0.0028,0.008,0.094,0.036,0.036,0.014,0.0245,0.001,0.0037,0.0098,0.0,0.005,2128.244,49.21307,1911.0,1533.0,1092.0
4100,23B164253,53.8,66.4,31.29,0.244100004434586,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.056,0.882,0.0052,0.0028,0.008,0.094,0.036,0.036,0.014,0.0245,0.001,0.0037,0.0098,0.0,0.005,2128.244,49.21307,1911.0,1533.0,1092.0
4101,23B164257,49.3,65.1,29.43,0.181199997663498,06MN40 550000,06MN40,06MN40,06MN40,L,T,0.056,0.882,0.0052,0.0028,0.008,0.094,0.036,0.036,0.014,0.0245,0.001,0.0037,0.0098,0.0,0.005,2115.428,44.30529,1913.0,1547.0,1031.0
4102,23B164257,51.3,67.1,27.045,0.181199997663498,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.056,0.882,0.0052,0.0028,0.008,0.094,0.036,0.036,0.014,0.0245,0.001,0.0037,0.0098,0.0,0.005,2115.428,44.30529,1913.0,1547.0,1031.0
4159,23B164411,57.4,68.2,28.59,0.244100004434586,06MN40 550000,06MN40,06NB55,06MN40,L,T,0.053,0.891,0.0063,0.0041,0.014,0.117,0.043,0.043,0.015,0.0307,0.004,0.0025,0.008,0.001,0.005,2190.848,49.21008,1986.0,1558.0,971.0
4160,23B164411,61.6,68.7,30.19,0.244100004434586,06MN40 550000,06MN40,06NB55,06MN40,T,T,0.053,0.891,0.0063,0.0041,0.014,0.117,0.043,0.043,0.015,0.0307,0.004,0.0025,0.008,0.001,0.005,2190.848,49.21008,1986.0,1558.0,971.0
4161,23B164412,57.2,68.9,28.75,0.182099997997284,06MN40 550000,06MN40,06MN40,06MN40,L,T,0.053,0.891,0.0063,0.0041,0.014,0.117,0.043,0.043,0.015,0.0307,0.004,0.0025,0.008,0.001,0.005,2191.892,49.21265,1986.0,1554.0,996.0
4162,23B164412,57.2,68.55,21.725,0.182099997997284,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.053,0.891,0.0063,0.0041,0.014,0.117,0.043,0.043,0.015,0.0307,0.004,0.0025,0.008,0.001,0.005,2191.892,49.21265,1986.0,1554.0,996.0
4163,23B164422,49.3,64.5,40.98,0.503099977970123,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.052,0.867,0.0083,0.003,0.028,0.152,0.051,0.045,0.012,0.0336,0.004,0.0016,0.0118,0.001,0.005,2223.968,54.07536,1981.0,1553.0,1049.0
4164,23B164426,55.15,67.65,27.549999999999997,0.181999996304512,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.052,0.867,0.0083,0.003,0.028,0.152,0.051,0.045,0.012,0.0336,0.004,0.0016,0.0118,0.001,0.005,2222.978,49.1951,1995.0,1553.0,989.0
5460,23B168912,54.7,66.2,36.99,0.244299992918968,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.066,0.869,0.0059,0.0012,0.017,0.11,0.041,0.032,0.014,0.0273,0.002,0.0017,0.0091,0.001,0.005,2070.05,49.25217,1832.0,1556.0,1043.0
5462,23B168917,51.9,63.0,43.24,0.493699997663498,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.056,0.893,0.0065,0.0016,0.016,0.128,0.043,0.043,0.019,0.0241,0.001,0.0026,0.0081,0.001,0.005,2050.952,54.20541,1835.0,1583.0,1025.0
5463,23B168918,51.1,63.3,44.63,0.493699997663498,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.056,0.893,0.0065,0.0016,0.016,0.128,0.043,0.043,0.019,0.0241,0.001,0.0026,0.0081,0.001,0.005,2058.206,54.19731,1835.0,1558.0,1004.0
5464,23B168924,51.099999999999994,63.0,40.45,0.493800014257431,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.056,0.893,0.0065,0.0016,0.016,0.128,0.043,0.043,0.019,0.0241,0.001,0.0026,0.0081,0.001,0.005,2058.62,54.19657,1832.0,1547.0,998.0
5465,23B168926,50.8,62.6,43.2,0.493699997663498,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.061,0.887,0.0054,0.0023,0.015,0.115,0.042,0.035,0.013,0.0314,0.002,0.0019,0.0068,0.001,0.004,1968.908,54.23085,1788.0,1542.0,1004.0
5466,23B168930,50.5,62.4,42.41,0.41499999165535,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.061,0.887,0.0054,0.0023,0.015,0.115,0.042,0.035,0.013,0.0314,0.002,0.0019,0.0068,0.001,0.004,1939.388,54.24434,1792.0,1547.0,993.0
5467,23B168932,53.0,65.0,36.08,0.41499999165535,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.059,0.949,0.0062,0.003,0.011,0.119,0.039,0.04,0.018,0.0295,0.001,0.0038,0.0086,0.001,0.005,1948.1,54.24493,1796.0,1549.0,1002.0
5468,23B168934,53.1,65.0,37.33,0.41499999165535,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.059,0.949,0.0062,0.003,0.011,0.119,0.039,0.04,0.018,0.0295,0.001,0.0038,0.0086,0.001,0.005,1996.196,54.22382,1803.0,1545.0,1000.0
5469,23B168936,52.8,64.0,37.39,0.41499999165535,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.053,0.904,0.0046,0.0041,0.019,0.102,0.036,0.035,0.012,0.0287,0.002,0.0018,0.0084,0.001,0.004,1991.498,54.23303,1810.0,1549.0,995.0
5470,23B168938,52.5,64.3,37.38,0.41499999165535,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.053,0.904,0.0046,0.0041,0.019,0.102,0.036,0.035,0.012,0.0287,0.002,0.0018,0.0084,0.001,0.004,1974.128,54.23063,1799.0,1547.0,995.0
5471,23B168941,52.0,63.2,41.83,0.41499999165535,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.056,0.912,0.0055,0.0025,0.033,0.104,0.036,0.036,0.012,0.0248,0.002,0.0012,0.0086,0.001,0.005,1946.282,54.25131,1803.0,1553.0,995.0
5472,23B168943,47.7,62.1,43.21,0.415100008249283,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.056,0.912,0.0055,0.0025,0.033,0.104,0.036,0.036,0.012,0.0248,0.002,0.0012,0.0086,0.001,0.005,1948.298,54.25098,1803.0,1549.0,995.0
5473,23B168945,52.0,63.5,36.05,0.41499999165535,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.058,0.948,0.0066,0.0045,0.017,0.088,0.032,0.045,0.017,0.0292,0.001,0.0032,0.0084,0.001,0.005,1962.482,54.24705,1788.0,1549.0,1004.0
5474,23B168948,49.2,63.8,35.51,0.41499999165535,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.058,0.948,0.0066,0.0045,0.017,0.088,0.032,0.045,0.017,0.0292,0.001,0.0032,0.0084,0.001,0.005,1962.698,54.24262,1796.0,1574.0,1016.0
5475,23B168950,52.4,64.7,39.64,0.41499999165535,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.066,0.877,0.0063,0.0043,0.021,0.107,0.039,0.041,0.013,0.0294,0.002,0.0016,0.0051,0.001,0.005,1955.624,54.25048,1781.0,1554.0,995.0
5476,23B168952,51.5,63.8,35.06,0.41499999165535,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.066,0.877,0.0063,0.0043,0.021,0.107,0.039,0.041,0.013,0.0294,0.002,0.0016,0.0051,0.001,0.005,1958.918,54.2513,1796.0,1549.0,996.0
5477,23B168954,51.7,63.9,36.13,0.41499999165535,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.061,0.861,0.0086,0.0028,0.024,0.08,0.03,0.04,0.016,0.0273,0.001,0.0031,0.0069,0.001,0.005,1948.532,54.25257,1799.0,1549.0,996.0
5478,23B168956,52.1,63.8,35.81,0.415100008249283,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.061,0.861,0.0086,0.0028,0.024,0.08,0.03,0.04,0.016,0.0273,0.001,0.0031,0.0069,0.001,0.005,1952.6,54.25042,1790.0,1556.0,1000.0
5479,23B168959,53.3,64.8,36.36,0.415100008249283,06MN40 550000,06MN40,06MN40,06MN40,T,T,0.059,0.917,0.009,0.0046,0.02,0.087,0.031,0.046,0.015,0.0335,0.001,0.0031,0.0091,0.001,0.005,1957.46,54.24814,1792.0,1554.0,1007.0
