,coil_no,YieldStrength,TensileStrength,TotalElongation,coil_thickness,steel_design_description,grade,grade_head,grade_tail,sample_direction,sample_location,c_amount,mn_amount,p_amount,s_amount,si_amount,cu_amount,ni_amount,cr_amount,mo_amount,al_amount,nb_amount,ca_amount,n_amount,ti_amount,v_amount,TF1_EXIT_AVG_BODY,TBC_thickness,TEMP_FM_ENTRY_AVG,TEMP_FM_EXIT_AVG,TEMP_COILING_AVG
5056,23B167314,56.7,77.5,25.71,0.181600004434586,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.212,0.435,0.007,0.0025,0.038,0.113,0.039,0.054,0.019,0.036,0.001,0.0025,0.0105,0.001,0.003,2146.1,49.22723,1877.0,1650.0,1171.0
5057,23B167322,56.6,75.7,24.51,0.180099993944168,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.199,0.434,0.0049,0.0027,0.028,0.116,0.042,0.042,0.015,0.03,0.002,0.0023,0.0097,0.001,0.004,2147.306,49.22718,1877.0,1655.0,1171.0
5058,23B167328,53.900000000000006,77.25,23.29,0.180000007152557,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.199,0.434,0.0049,0.0027,0.028,0.116,0.042,0.042,0.015,0.03,0.002,0.0023,0.0097,0.001,0.004,2145.434,49.22851,1877.0,1652.0,1171.0
5059,23B167331,52.6,75.7,24.74,0.178100004792213,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.2,0.456,0.0064,0.0024,0.028,0.123,0.042,0.048,0.011,0.0358,0.002,0.0022,0.0073,0.001,0.003,2147.54,49.22733,1884.0,1655.0,1175.0
5060,23B167337,52.9,75.1,26.8,0.178100004792213,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.2,0.456,0.0064,0.0024,0.028,0.123,0.042,0.048,0.011,0.0358,0.002,0.0022,0.0073,0.001,0.003,2136.488,49.22823,1878.0,1655.0,1167.0
5061,23B167340,51.5,76.4,28.42,0.178100004792213,20SS50 650175,20SS50,20SS50,20SS50,L,T,0.196,0.436,0.0062,0.005,0.023,0.101,0.042,0.043,0.017,0.0318,0.001,0.0026,0.0092,0.001,0.004,2149.304,49.22678,1887.0,1655.0,1173.0
5062,23B167340,53.1,76.0,25.57,0.178100004792213,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.196,0.436,0.0062,0.005,0.023,0.101,0.042,0.043,0.017,0.0318,0.001,0.0026,0.0092,0.001,0.004,2149.304,49.22678,1887.0,1655.0,1173.0
5081,23B167387,53.2,72.9,28.98,0.316599994897842,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.205,0.444,0.008,0.0039,0.031,0.112,0.042,0.051,0.011,0.0414,0.001,0.0018,0.0093,0.001,0.004,2122.484,54.14905,1920.0,1680.0,1196.0
5211,23B168087,51.6,73.5,36.45,0.50220000743866,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.206,0.446,0.005,0.0026,0.032,0.114,0.039,0.046,0.014,0.0308,0.001,0.0026,0.0094,0.001,0.004,2011.676,54.21316,1805.0,1650.0,1185.0
5212,23B168088,59.4,78.2,32.64,0.494300007820129,20SS50 650175,20SS50,20SS50,20SS50,T,T,0.202,0.435,0.0061,0.0022,0.023,0.118,0.04,0.066,0.014,0.0283,0.001,0.0026,0.0091,0.001,0.004,2037.182,54.20848,1824.0,1635.0,1166.0
